Fila,Columna,Texto,PosX,PosY
1,1,TABLA,545.5,64.0
1,2,BOLIVIANA,671.5,66.5
1,3,DE,772.0,69.0
1,4,COMPOSICIÓN,892.0,71.0
1,5,DE,1012.0,74.0
1,6,ALIMENTOS,1113.5,75.5
2,1,NOMBRE,307.0,132.0
2,2,ALIMENTO,376.0,134.0
2,3,COMPOSICIÓN,651.0,116.0
2,4,POR,741.0,118.0
2,5,100,780.0,118.5
2,6,GRAMOS,837.5,119.5
2,7,DE,892.0,120.5
2,8,PORCIÓN,949.5,121.5
2,9,COMESTIBLE,1049.0,124.0
3,1,Xcal,544.0,156.0
3,2,ENERGIA,546.0,140.5
3,3,HUMEDAD,615.5,142.0
3,4,PROTEINA,688.5,143.5
3,5,GRASA,755.0,145.5
3,6,CHO,808.0,147.0
3,7,TOTAL,841.5,147.5
3,8,F.CRUDA,896.0,148.5
3,9,CENIZA,962.5,150.0
3,10,Co,1032.0,152.0
3,11,Fa,1168.0,153.5
3,12,VIT,1227.5,155.0
3,13,.,1238.5,155.0
3,14,A,1246.5,155.0
3,15,TAMINA,1302.0,156.5
3,16,POPLAM,1370.0,158.5
4,1,°,755.5,165.5
4,2,"""",827.0,166.5
4,3,°,962.0,167.5
4,4,mg,1030.5,169.0
4,5,mg,1167.5,171.0
4,6,"""",1231.0,173.0
4,7,m,1369.5,176.0
4,8,m,1429.5,177.0
4,9,NIACINA,1433.0,160.5
4,10,VOT,1491.0,162.5
4,11,C,1510.0,162.0
5,1,COO,154.0,184.0
5,2,Toronja,228.0,185.5
5,3,blanca,290.0,187.0
5,4,sin,334.0,188.5
5,5,membrana,394.0,189.0
5,6,44,543.0,193.0
5,7,88,602.0,197.0
5,8,90,625.5,198.0
5,9,0,674.5,198.5
5,10,56,693.0,198.5
5,11,0,741.5,200.0
5,12,20,761.5,200.0
5,13,མ,1497.5,180.5
6,1,:,499.5,221.0
6,2,10.03,826.5,201.5
6,3,021,894.0,202.5
6,4,0.31,959.0,204.0
6,5,140,1030.5,204.0
6,6,20.0,1098.0,205.0
6,7,0.22,1165.5,206.5
6,8,0.0,1232.5,208.0
6,9,004,1298.25,209.0
6,10,0.06,1368.5,211.0
6,11,0.60,1431.5,212.5
6,12,3650,1496.5,214.5
7,1,67,542.5,222.0
7,2,83.20,614.0,225.0
7,3,0.98,686.0,227.0
7,4,0.53,753.0,229.5
7,5,14.68,825.0,229.5
7,6,8.46,893.5,232.5
7,7,0.61,959.5,233.5
7,8,12.0,1030.5,234.5
7,9,362,1097.5,235.5
7,10,0.70,1165.0,236.5
7,11,97.2,1231.0,237.5
7,12,0.03,1297.5,238.5
7,13,0.00,1369.0,239.5
7,14,351,1432.0,240.5
8,1,C82,151.5,242.0
8,2,Tuna,216.0,243.0
8,3,var,256.0,244.5
8,4,.,269.5,244.0
8,5,Amarilla,309.5,244.5
8,6,70,543.5,251.0
8,7,82,601.0,253.0
8,8,45,625.0,254.0
8,9,106,686.0,255.5
8,10,0.16,752.0,257.5
8,11,16.03,825.0,258.5
8,12,6.32,891.5,259.0
8,13,030,957.5,260.5
8,14,34.0,1027.5,261.0
9,1,CB3,152.5,271.0
9,2,Tune,217.0,271.0
9,3,66,542.5,280.0
9,4,83.85,613.5,281.5
9,5,200,1096.0,262.0
9,6,050,1163.5,263.0
9,7,5.0,1230.0,263.5
9,8,0.03,1298.0,265.0
9,9,0.02,1368.0,266.0
9,10,0.30,1429.5,267.5
9,11,17,1484.0,269.5
9,12,00,1507.0,269.5
10,1,C84,152.0,300.0
10,2,Uva,212.5,301.5
10,3,var,247.5,301.5
10,4,Blanca,297.5,302.0
10,5,1.14,685.5,283.5
10,6,0.25,752.5,285.5
10,7,1459,824.5,286.5
10,8,2.38,893.0,286.5
10,9,027,957.5,287.5
10,10,23.5,1027.0,287.5
10,11,21.4,1095.5,290.0
10,12,051,1163.0,291.0
10,13,44,1230.0,291.5
10,14,0.02,1296.0,293.5
10,15,00,1363.0,294.0
10,16,61,1429.0,295.5
11,1,70,542.0,308.5
11,2,82.61,612.0,311.0
11,3,0,672.5,313.0
11,4,69,691.5,312.0
11,5,0.47,751.5,314.5
11,6,15,812.0,315.0
11,7,84,834.5,315.0
11,8,032,890.5,316.0
11,9,0,945.0,317.5
11,10,39,963.0,317.5
11,11,24,1019.5,318.5
11,12,2,1038.0,318.5
11,13,35,1087.0,318.5
11,14,6,1106.5,318.5
11,15,0.94,1162.0,319.0
11,16,Tr,1227.5,320.5
11,17,.,1236.5,320.5
11,18,003,1296.0,320.0
11,19,0.04,1368.0,321.0
11,20,0.58,1431.0,322.5
11,21,15,1485.5,324.0
11,22,30,1507.0,324.0
12,1,73,542.5,338.75
12,2,8,595.0,335.0
12,3,8184,613.5,340.5
12,4,076,685.5,341.0
12,5,047,751.5,341.5
12,6,16.35,824.0,342.5
12,7,0.47,891.5,343.0
12,8,0.58,956.5,343.5
12,9,180,1026.5,344.5
12,10,16.0,1094.5,345.5
12,11,0.00,1162.5,346.0
12,12,0.04,1297.5,347.5
12,13,0.05,1369.5,348.5
12,14,049280,1463.0,349.0
13,1,C85,151.5,359.0
13,2,Uva,212.0,359.5
13,3,pesa,254.5,360.5
13,4,var,293.0,361.5
13,5,Negra,340.0,362.5
13,6,333,541.5,366.5
13,7,15.38,613.0,368.0
13,8,2.90,683.0,369.5
13,9,0,739.0,369.5
13,10,32,757.0,369.5
13,11,7971,822.0,371.0
13,12,1.30,890.5,372.0
13,13,"1,69",956.0,373.5
13,14,59.4,1024.0,374.0
13,15,76,1086.0,374.5
13,16,4,1105.0,374.5
13,17,2.99,1160.0,375.0
13,18,Tr,1227.0,376.0
13,19,0.10,1296.5,376.5
13,20,12.00,1368.0,377.0
13,21,0.60,1430.0,377.5
13,22,7.20,1496.5,378.5
14,1,Un,207.5,388.0
14,2,238,541.5,395.0
14,3,78.21048,646.0,396.5
14,4,0.40,750.5,398.5
14,5,5612.038,854.5,399.0
14,6,034,955.5,400.0
14,7,13033.0,1058.5,401.0
14,8,0.80,1161.0,402.0
14,9,12.00.05,1261.5,402.5
14,10,004,1368.0,404.0
14,11,04,1426.5,404.0
15,1,D,140.5,414.5
15,2,ACEITES,234.0,416.0
15,3,Y,285.5,417.0
15,4,GRASAS,336.0,418.0
16,1,DIAgbada,202.0,444.0
16,2,söye,297.0,446.0
16,3,y,326.0,446.0
16,4,grasai,363.5,447.0
16,5,"""",395.5,448.0
16,6,900,541.5,450.0
16,7,005,609.5,451.5
16,8,000,682.5,452.0
16,9,99.95,750.0,453.5
17,1,D2,147.5,472.5
17,2,Acalle,221.0,473.5
17,3,de,262.5,474.5
17,4,girasol,306.0,475.5
17,5,"""",336.0,476.0
17,6,897,539.5,478.5
17,7,033,611.5,479.0
17,8,0,682.0,479.5
17,9,99,736.5,480.5
17,10,67,759.5,480.0
17,11,°,821.0,481.5
18,1,03,148.5,500.5
18,2,Adille,220.5,501.5
18,3,de,261.0,501.5
18,4,oliva,295.5,501.5
18,5,694,540.5,505.5
18,6,0.57,609.0,507.0
18,7,99.33,748.5,508.0
18,8,30,812.5,507.5
18,9,30037,944.0,509.0
19,1,88888868,144.5,541.0
19,2,D4,147.5,529.0
19,3,Acade,221.0,530.0
19,4,de,262.5,530.0
19,5,palma,302.5,531.0
19,6,de,343.0,531.0
19,7,molacu,388.0,532.0
19,8,"""",422.0,532.0
19,9,A9A,539.5,533.5
19,10,020,609.5,534.0
19,11,0,681.5,536.0
19,12,99,741.5,535.0
19,13,8,760.0,535.0
19,14,0,820.0,536.5
20,1,DS,147.0,557.5
20,2,Acella,220.0,558.5
20,3,vegetal,281.5,558.5
20,4,894,539.0,560.5
20,5,2007,600.0,561.5
20,6,99.29,748.5,563.0
20,7,0,820.5,564.0
20,8,0.02,952.5,564.5
21,1,D6,147.0,586.5
21,2,Cebo,217.5,587.0
21,3,895,538.5,589.0
21,4,6,598.0,589.5
21,5,40,616.0,589.5
21,6,0,680.0,590.5
21,7,99,735.5,591.0
21,8,40,760.5,591.0
21,9,0,819.5,592.0
21,10,010,953.0,593.5
22,1,Manteca,229.0,614.0
22,2,de,280.0,615.0
22,3,cordo,319.0,616.0
22,4,900,539.0,616.5
22,5,0.35,607.5,617.5
22,6,99.99,746.5,618.5
22,7,:,805.0,619.5
22,8,0,817.0,618.5
22,9,-0.04,949.5,620.0
23,1,D8,145.0,643.5
23,2,Manteca,229.0,642.5
23,3,vegnial,300.0,644.0
23,4,899,538.0,645.0
23,5,000,608.5,645.0
23,6,0,678.5,645.5
23,7,99,734.0,645.5
23,8,91,757.0,645.5
23,9,0,818.0,646.5
23,10,001,951.75,647.0
23,11,10.00,1223.0,650.5
24,1,724,537.0,671.5
24,2,678,607.0,672.5
24,3,0,666.5,673.0
24,4,69,685.5,673.0
24,5,80.09,746.5,672.5
24,6,00.05,888.5,675.5
24,7,5.0,1018.5,676.0
24,8,3.00,1086.0,677.0
24,9,0.90,1154.5,677.0
24,10,84.00,1221.5,678.0
24,11,0.023,1292.5,678.5
25,1,PESCADOS,243.0,700.5
25,2,Y,306.0,700.5
25,3,MARISCOS,365.5,700.5
26,1,B1,141.5,729.5
26,2,B,198.0,729.0
26,3,cócillás,299.0,727.5
26,4,sen,345.5,728.0
26,5,hueso,388.5,727.5
26,6,1.90,528.0,729.5
26,7,77.72,607.0,728.0
26,8,18.42,678.5,728.0
26,9,08,744.0,727.5
26,10,2.18,816.0,729.0
26,11,08864.0,984.5,729.5
26,12,118.02.00,1118.5,730.5
26,13,10.00,1221.0,731.5
26,14,0.05,1287.0,732.0
26,15,0.10,1357.5,732.5
26,16,561,1420.0,733.5
26,17,000,1486.5,733.5
27,1,E2,143.0,757.5
27,2,Bogultas,226.5,758.5
27,3,enteras,296.0,757.5
27,4,fritas,352.5,756.5
27,5,148,537.0,756.5
27,6,67,598.0,756.0
27,7,8,619.0,756.0
27,8,18,667.0,757.0
27,9,44,689.0,757.0
27,10,6,732.5,756.5
27,11,02,751.5,756.5
27,12,4.90,815.5,757.0
27,13,284,948.5,757.5
27,14,591.0,1017.5,757.5
27,15,185.0,1085.5,758.5
27,16,160,1154.0,759.0
27,17,16.00,1221.0,759.5
27,18,0.04,1286.25,760.0
27,19,021,1356.5,760.0
27,20,7.26,1420.0,761.0
27,21,0:00,1485.0,762.0
28,1,Cantifond,238.5,786.5
28,2,de,300.0,786.5
28,3,sua,337.0,786.5
28,4,dulce,384.0,786.5
28,5,(,414.0,786.5
28,6,coción,443.0,786.5
28,7,),472.5,786.5
28,8,"""",479.5,786.5
28,9,134,537.0,784.5
28,10,68.5,606.5,784.0
28,11,16.69,678.0,785.0
28,12,3.2,744.5,784.0
28,13,9.57,814.5,785.0
28,14,204,950.0,786.0
28,15,59.8,1018.0,786.0
28,16,15.00,1219.5,787.5
28,17,0.233,1494.0,788.5
29,1,E4,142.0,815.0
29,2,Carachi,221.0,814.5
29,3,cocido,284.0,813.5
29,4,99,534.5,812.5
29,5,76,593.0,812.5
29,6,02,616.0,813.5
29,7,19.15,677.5,812.5
29,8,1,731.0,813.0
29,9,32,750.0,813.0
29,10,260,815.5,813.0
29,11,091,947.5,813.5
29,12,79,1010.0,814.0
29,13,0,1028.5,814.0
29,14,141.0,1085.5,813.5
29,15,240,1152.5,814.5
29,16,0.00,1219.0,815.5
29,17,0.04,1286.0,816.5
29,18,0.18,1357.5,816.5
29,19,4.23,1418.0,816.5
29,20,0.00,1482.5,815.5
30,1,139,536.0,841.0
30,2,70.66,605.25,840.5
30,3,19.46,677.0,841.0
30,4,5.28,743.0,841.0
30,5,3.47,814.0,840.5
30,6,1.13,950.0,841.5
30,7,75.0,1017.5,841.5
30,8,150.0,1086.0,844.0
30,9,1.90,1153.5,844.0
30,10,21.00,1220.0,844.0
30,11,0.05,1286.5,844.0
30,12,023,1358.0,844.0
30,13,473,1419.5,844.0
30,14,0.00,1484.0,844.0
30,15,€,1509.0,844.0
31,1,Es,142.0,873.0
31,2,Carpe,214.0,874.0
31,3,cocida,270.0,873.0
31,4,137,535.0,869.0
31,5,71,592.0,869.5
31,6,26,617.0,869.5
31,7,19.09,677.0,869.5
31,8,5,730.5,870.0
31,9,05,750.0,870.0
31,10,374,814.5,869.0
31,11,0,936.0,869.5
31,12,86,954.5,869.5
31,13,200,1016.0,869.5
31,14,167.0,1085.0,870.5
31,15,2.30,1152.0,872.0
31,16,0.00,1218.5,872.0
31,17,013,1285.5,872.5
31,18,013,1357.0,872.0
31,19,4.23,1418.0,872.5
31,20,0.00,1482.5,872.0
32,1,143-71.25,573.0,897.0
32,2,19.88,676.5,897.0
32,3,64,743.0,897.0
32,4,1.54,815.0,897.5
32,5,--,877.5,899.0
32,6,0.92,947.5,897.5
32,7,20.0,1016.5,898.0
32,8,1730,1085.5,898.5
32,9,2.30,1153.0,900.0
32,10,41.00005,1251.0,900.0
32,11,0.17,1357.5,900.0
32,12,753,1419.0,900.0
32,13,0.00,1484.5,900.0
33,1,E8,142.0,932.0
33,2,Harina,215.0,932.5
33,3,de,256.5,932.0
33,4,ispi,286.0,932.0
33,5,con,319.5,931.5
33,6,huesos,368.5,931.0
33,7,397,533.0,926.5
33,8,16.51,604.5,926.0
33,9,49.06,675.0,926.0
33,10,14,731.5,925.5
33,11,11,755.0,925.5
33,12,18,802.5,925.5
33,13,50,826.5,925.5
33,14,182,948.0,926.0
33,15,2350,1009.5,927.0
33,16,0,1038.5,926.5
33,17,1048.0,1086.0,927.5
33,18,29.40,1153.0,929.0
33,19,118,1209.0,929.5
33,20,00,1236.0,929.5
33,21,0.16,1286.0,929.0
33,22,3.46,1356.5,928.5
33,23,2.2,1419.5,927.5
33,24,000,1483.5,928.5
34,1,115,531.5,956.0
34,2,72.0,602.5,956.0
34,3,20.52,675.0,956.5
34,4,3.09,742.0,957.0
34,5,0.00,812.0,957.5
34,6,2.89,947.0,954.5
34,7,916,1010.0,955.0
34,8,0,1033.0,955.0
34,9,252.0,1085.5,955.0
34,10,2.30,1152.5,957.0
34,11,94.00,1219.0,956.5
34,12,0.08,1285.5,956.5
34,13,0.40,1356.5,955.5
34,14,8.33,1417.5,955.5
34,15,-0.00,1475.5,955.5
35,1,E10,145.0,990.0
35,2,Ispl,202.0,989.5
35,3,fresco,245.0,988.5
35,4,123,532.5,984.0
35,5,73,590.5,983.5
35,6,37,614.5,983.0
35,7,17,663.0,983.5
35,8,59,687.0,983.5
35,9,547,740.5,983.0
35,10,0.73,813.0,983.0
35,11,2.84,947.5,984.0
35,12,11230,1019.0,984.5
35,13,3100,1087.0,985.0
35,14,3,1142.0,986.5
35,15,53,1161.0,986.5
35,16,53.30,1220.5,986.5
35,17,40,1414.5,985.5
35,18,/,1431.0,985.0
35,19,120,1485.25,985.5
36,1,Ella,170.5,1015.5
36,2,Mo,236.5,1015.5
36,3,com,271.0,1015.5
36,4,193,528.5,1015.5
36,5,01.70,603.0,1015.5
36,6,"21.72111,5000448",807.0,1015.5
36,7,900.0201.0230,1084.0,1015.5
36,8,10200,1222.0,1015.5
36,9,0.07,1288.0,1015.5
36,10,0.38,1358.5,1014.0
36,11,4.90,1418.5,1012.5
36,12,000,1483.5,1011.5
37,1,(,116.0,1077.0
37,2,(,480.0,1072.5
37,3,"""",484.5,1071.5
37,4,),494.5,1071.5
37,5,Almante,531.0,1070.0
37,6,loade,589.0,1068.5
37,7,(,837.0,1070.0
37,8,),857.0,1070.0
37,9,Arro,891.5,1070.0
37,10,estrade,965.0,1070.0
37,11,Ver,1218.0,1071.5
37,12,description,1264.0,1071.5
37,13,de,1306.0,1071.5
